12,1,1,1,1,1,1,1,1,1,1,-1,3,-1,0,-1,1,1,1,1,1,1,1,1,1,1,12
3,15,15,15,15,15,15,15,15,15,15,6,4,-1,6,4,15,15,15,15,15,15,15,15,15,15,0
3,15,7,2,2,5,15,7,2,5,15,15,15,-1,15,15,15,7,2,5,15,7,2,2,5,15,0
3,15,0,-1,-1,3,15,0,-1,3,15,14,15,17,15,14,15,0,-1,3,15,0,-1,-1,3,15,0
3,15,0,-1,-1,3,15,0,-1,3,15,8,15,14,15,8,15,0,-1,3,15,0,-1,-1,3,15,0
3,15,6,1,1,4,15,6,1,4,15,13,15,13,15,13,15,6,1,4,15,6,1,1,4,15,0
3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
3,15,7,5,15,7,2,5,15,7,2,2,2,2,2,2,2,5,15,7,2,5,15,7,5,15,0
3,15,0,3,15,0,-1,3,15,6,1,1,1,1,1,1,1,4,15,0,-1,3,15,0,3,15,0
3,15,6,4,15,0,-1,3,15,15,15,15,15,15,15,15,15,15,15,0,-1,3,15,6,4,15,0
3,15,18,15,15,0,-1,-1,9,9,9,9,10,15,11,9,9,9,9,-1,-1,3,15,15,18,15,0
3,15,7,5,15,0,-1,3,15,15,15,15,15,15,15,15,15,15,15,0,-1,3,15,7,5,15,0
3,15,0,3,15,6,1,4,15,7,2,5,15,18,15,7,2,5,15,6,1,4,15,0,3,15,0
4,15,0,3,15,15,15,15,15,0,-1,3,15,15,15,0,-1,3,15,15,15,15,15,0,3,15,6
-1,15,0,-1,2,2,2,5,15,0,1,-1,2,2,2,-1,1,3,15,7,2,2,2,-1,3,15,-1
5,15,0,-1,-1,-1,-1,3,15,13,16,6,1,1,1,4,16,13,15,0,-1,-1,-1,-1,3,15,7
3,15,6,1,1,1,1,4,15,15,15,15,15,15,15,15,15,15,15,6,1,1,1,1,4,15,0
3,15,15,15,15,15,15,15,15,7,2,5,15,14,15,7,2,5,15,15,15,15,15,15,15,15,0
3,15,7,2,5,15,7,2,2,-1,-1,3,15,8,15,0,-1,-1,2,2,5,15,7,2,5,15,0
3,15,0,-1,3,15,6,1,1,1,1,4,15,8,15,6,1,1,1,1,4,15,0,-1,3,15,0
3,15,0,-1,3,15,15,15,15,15,15,15,15,13,15,15,15,15,15,15,15,15,0,-1,3,15,0
3,15,0,-1,-1,2,2,2,2,5,15,14,15,17,15,14,15,7,2,2,2,2,-1,-1,3,15,0
3,15,0,-1,-1,1,1,1,1,4,15,0,2,2,2,3,15,6,1,1,1,1,-1,-1,3,15,0
3,15,0,-1,3,15,15,15,15,15,15,6,1,1,1,4,15,15,15,15,15,15,0,-1,3,15,0
3,15,6,1,4,15,11,9,9,10,15,15,15,15,15,15,15,11,9,9,10,15,6,1,4,15,0
3,15,15,15,15,15,15,15,15,15,15,7,5,-1,7,5,15,15,15,15,15,15,15,15,15,15,0
12,2,2,2,2,2,2,2,2,2,2,-1,3,-1,0,-1,2,2,2,2,2,2,2,2,2,2,12
